,name,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
261,Saurimo,47,AO,2019-11-16 19:46:38,98,-9.66,20.4,64.85,3.38
262,Kalang,75,AU,2019-11-16 19:46:39,64,-30.51,152.69,80.01,8.05
263,San Lazaro,40,BZ,2019-11-16 19:46:39,73,18.04,-88.66,73.4,6.15
264,Brae,100,GB,2019-11-16 19:46:39,93,60.4,-1.35,42.8,8.05
265,Chenzhou,100,CN,2019-11-16 19:46:39,72,25.81,113.03,69.96,4.41
266,Mishkino,40,RU,2019-11-16 19:46:39,86,56.22,46.62,33.8,13.42
267,Dunkwa,22,GH,2019-11-16 19:46:40,97,5.97,-1.78,73.69,0.47
268,Boyolangu,49,ID,2019-11-16 19:42:54,43,-8.09,111.9,90.81,7.02
269,Balikpapan,7,ID,2019-11-16 19:43:08,66,-1.24,116.86,86.99,4.09
270,Baykit,71,RU,2019-11-16 19:46:40,97,61.68,96.39,-25.17,2.71
271,Barda,100,RU,2019-11-16 19:46:40,87,56.93,55.59,30.2,9.53
272,Sawakin,100,SD,2019-11-16 19:46:40,68,19.1,37.33,82.72,10.31
273,Ranong,56,TH,2019-11-16 19:46:40,94,9.96,98.62,78.8,1.1
274,Hagdan,100,PH,2019-11-16 19:46:41,79,11.33,123.9,82.74,11.23
275,Skovorodino,8,RU,2019-11-16 19:46:41,75,53.99,123.94,0.48,4.92
276,Nyurba,100,RU,2019-11-16 19:46:41,91,63.29,118.35,-7.58,8.28
277,Vanimo,100,PG,2019-11-16 19:41:01,70,-2.67,141.3,84.42,8.14
278,Bandarbeyla,50,SO,2019-11-16 19:46:41,78,9.49,50.81,79.81,23.24
279,Novosheshminsk,100,RU,2019-11-16 19:46:41,76,55.06,51.22,31.55,13.4
280,Aswan,0,EG,2019-11-16 19:43:42,54,24.09,32.9,59.76,10.16
281,Mehamn,8,NO,2019-11-16 19:46:41,91,71.03,27.85,19.24,13.33
282,Ushtobe,0,KZ,2019-11-16 19:46:42,35,45.25,77.98,27.7,2.62
283,Frontera,90,MX,2019-11-16 19:46:42,94,18.53,-92.64,73.4,4.07
284,Hervey Bay,40,AU,2019-11-16 19:46:42,62,-25.3,152.85,84.2,19.46
285,Tanabe,40,JP,2019-11-16 19:46:42,67,33.73,135.39,66.0,5.82
286,Bontang,1,ID,2019-11-16 19:46:42,74,0.12,117.47,82.74,4.32
287,Saldanha,100,PT,2019-11-16 19:42:58,90,41.42,-6.55,37.15,5.46
288,Vorukh,97,KG,2019-11-16 19:46:42,57,39.85,70.57,37.29,0.67
289,Chokurdakh,99,RU,2019-11-16 19:41:10,98,70.62,147.9,-2.85,5.26
290,Pisco,7,PE,2019-11-16 19:42:45,88,-13.71,-76.2,64.4,12.75
291,Mantua,40,IT,2019-11-16 19:43:15,93,45.16,10.79,52.0,10.29
292,Chhindwara,0,IN,2019-11-16 19:46:43,53,22.06,78.94,69.91,6.78
293,Morant Bay,75,JM,2019-11-16 19:46:43,100,17.88,-76.41,77.0,13.87
294,Khandyga,88,RU,2019-11-16 19:46:43,93,62.65,135.58,-17.81,2.04
295,Tvrdosin,75,SK,2019-11-16 19:46:43,93,49.34,19.56,48.0,3.36
296,Jan Kempdorp,55,ZA,2019-11-16 19:46:43,18,-27.92,24.84,65.82,7.56
297,Dukat,99,AL,2019-11-16 19:46:43,69,40.25,19.57,64.0,4.0
298,Huoqiu,99,CN,2019-11-16 19:46:43,74,32.34,116.27,57.0,3.27
299,Pitsunda,0,GE,2019-11-16 19:46:43,81,43.16,40.34,46.99,11.18
300,Berdigestyakh,100,RU,2019-11-16 19:46:44,91,62.1,126.7,-9.74,8.01
301,Nadym,100,RU,2019-11-16 19:46:44,96,65.53,72.51,-6.9,18.54
302,Walvis Bay,75,NA,2019-11-16 19:46:44,87,-22.95,14.51,61.0,5.82
303,Bonfim,88,GY,2019-11-16 19:46:44,63,3.36,-59.84,83.12,4.7
304,Brainerd,90,US,2019-11-16 19:46:44,74,46.36,-94.2,42.8,5.82
305,Flin Flon,89,CA,2019-11-16 19:42:41,95,54.77,-101.88,16.99,4.54
